Date,Open Interest,Open Interest Value,Open,High,Low,BTC Price,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-07-28,86084.842,5842012173.524803,67896.49,68318.43,67066.66,68249.88,10868.69394,2024-07-28,736755676.1377451,821210,5403.48694,366295409.63502705,0
2024-07-29,85860.258,5857180798.252111,68249.88,70079.99,66428.0,66784.69,36467.29633,2024-07-29,2499265962.091455,1952812,18196.23316,1248743452.5576787,0
2024-07-30,84865.254,5665370847.585568,66784.68,67000.0,65302.67,66188.0,23132.25441,2024-07-30,1533270724.799421,1622083,11096.82554,735708436.0236868,0
2024-07-31,82994.073,5490838073.2362,66188.0,66849.24,64530.0,64628.0,22625.43905,2024-07-31,1489443332.5960116,1609976,10818.48504,712275323.706937,0
2024-08-01,82570.404,5334196725.1272,64628.01,65659.78,62302.0,65354.02,35542.26854,2024-08-01,2270877792.65868,2397257,16886.93292,1079221072.7580278,0
2024-08-02,87192.052,5696160845.9028,65354.02,65596.14,61230.01,61498.33,38820.42937,2024-08-02,2469588785.6981573,2457735,18202.35794,1158565579.090291,0
2024-08-03,87796.487,5398052867.7619,61498.34,62198.22,59850.0,60697.99,28034.71567,2024-08-03,1711555901.18011,1669555,12947.95791,790701622.6375737,0
2024-08-04,85283.126,5175372388.0596,60697.99,61117.63,57122.77,58161.0,31616.52003,2024-08-04,1874490041.5437355,1886195,14556.6247,863334319.9678984,0
2024-08-05,88098.464,5121964528.692452,58161.0,58305.59,49000.0,54018.81,162065.59186,2024-08-05,8580928177.429902,7568497,77363.26323,4097736999.067924,0
2024-08-06,75212.503,4060141944.6017113,54018.82,57040.99,53950.0,56022.01,55884.77676,2024-08-06,3119018848.329888,3433824,27934.19288,1559417942.6490836,0
2024-08-07,76846.83,4304090775.546137,56022.0,57736.05,54558.62,55134.16,44269.37684,2024-08-07,2490553853.602583,2397504,21897.14983,1232415104.4472857,0
2024-08-08,76977.234,4241668827.3786,55133.76,62745.14,54730.0,61685.99,48349.52949,2024-08-08,2836312292.4318185,2603042,25676.29533,1508140014.000517,0
2024-08-09,74964.252,4622448174.965024,61686.0,61744.37,59535.0,60837.99,30972.48017,2024-08-09,1878350555.5122635,1827809,15023.05073,911225295.6263437,0
2024-08-10,71916.705,4373161339.3335,60837.99,61470.58,60242.0,60923.51,9995.20621,2024-08-10,607372221.2460399,800499,4893.63854,297435046.0025079,0
2024-08-11,71072.428,4327987229.992284,60923.51,61858.0,58286.73,58712.59,19189.84512,2024-08-11,1152081498.1567774,1319469,9094.74521,546165456.9550736,0
2024-08-12,70092.777,4113969379.0164,58712.59,60711.09,57642.21,59346.64,37009.91743,2024-08-12,2186851067.316586,2293837,18279.26596,1080368631.1427846,0
2024-08-13,68490.559,4063106525.8924,59346.64,61578.1,58392.88,60587.15,27858.95851,2024-08-13,1668247896.8477187,1713485,13647.22341,817397824.2293857,0
2024-08-14,72127.824,4367734979.369164,60587.16,61800.0,58433.18,58683.39,28422.76326,2024-08-14,1705464263.505865,1729342,13263.8962,796386901.3641167,0
2024-08-15,78050.791,4577530595.6471,58683.39,59849.38,56078.54,57541.06,37686.17622,2024-08-15,2194915865.052229,2507858,17255.22311,1005337423.726424,0
2024-08-16,83767.535,4817913569.947132,57541.05,59817.76,57098.62,58874.6,27610.84344,2024-08-16,1614654900.3332715,1999539,13963.51824,816740633.5454463,0
2024-08-17,82133.267,4833953429.285,58874.59,59700.0,58785.05,59491.99,7721.72931,2024-08-17,457737705.7722839,807159,3871.6531,229477473.80983913,0
2024-08-18,82618.622,4913197260.5448,59491.99,60284.99,58408.92,58427.35,13634.85717,2024-08-18,813166580.7264851,1099730,6660.58254,397459480.87198234,0
2024-08-19,82695.127,4828576735.0427,58427.35,59617.63,57787.3,59438.5,22809.31251,2024-08-19,1336287900.197634,1636295,11350.30776,665066212.7595356,0
2024-08-20,79748.878,4737091328.0878,59438.5,61400.0,58548.23,59013.8,31477.44548,2024-08-20,1890620149.79102,1904519,16041.22019,964180516.15294,0
2024-08-21,82720.661,4879501534.8697,59013.8,61820.93,58783.47,61156.03,27983.6422,2024-08-21,1682529555.0960546,1981525,14156.90984,851829721.3994547,0
2024-08-22,85607.454,5232327588.48,61156.03,61400.0,59724.87,60375.84,21241.20588,2024-08-22,1288544247.9560175,1718280,10269.33376,623042041.0781735,0
2024-08-23,83676.724,5049881925.7276,60375.83,64955.0,60342.14,64037.24,38118.07089,2024-08-23,2375916932.7935486,2555682,20372.88336,1270318490.0257754,0
2024-08-24,86666.882,5548405118.9518,64037.24,64494.5,63531.0,64157.01,15857.15616,2024-08-24,1015774255.1740764,1551856,7643.02686,489673236.6598002,0
2024-08-25,87051.136,5581875784.257709,64157.02,65000.0,63773.27,64220.0,12305.47977,2024-08-25,789935122.9930241,1263065,6315.72233,405555580.86044383,0
2024-08-26,87953.834,5646631310.329631,64219.99,64481.0,62800.0,62834.0,19470.05276,2024-08-26,1238341818.4320166,2152841,8995.67609,572188217.6295675,0
2024-08-27,84295.242,5294951304.223998,62834.0,63212.0,62657.0,62755.01,5682.1799,2024-08-27,357775027.0280954,447293,2635.05482,165919722.0635314,0
