Date,Open Interest,Open Interest Value
2024-07-28,86084.84200000,5842012173.52480300
2024-07-29,85860.25800000,5857180798.25211050
2024-07-30,84865.25400000,5665370847.58556800
2024-07-31,82994.07300000,5490838073.23620000
2024-08-01,82570.40400000,5334196725.12720000
2024-08-02,87192.05200000,5696160845.90280000
2024-08-03,87796.48700000,5398052867.76190000
2024-08-04,85283.12600000,5175372388.05960000
2024-08-05,88098.46400000,5121964528.69245150
2024-08-06,75212.50300000,4060141944.60171130
2024-08-07,76846.83000000,4304090775.54613700
2024-08-08,76977.23400000,4241668827.37860000
2024-08-09,74964.25200000,4622448174.96502400
2024-08-10,71916.70500000,4373161339.33350000
2024-08-11,71072.42800000,4327987229.99228400
2024-08-12,70092.77700000,4113969379.01640000
2024-08-13,68490.55900000,4063106525.89240000
2024-08-14,72127.82400000,4367734979.36916400
2024-08-15,78050.79100000,4577530595.64710000
2024-08-16,83767.53500000,4817913569.94713200
2024-08-17,82133.26700000,4833953429.28500000
2024-08-18,82618.62200000,4913197260.54480000
2024-08-19,82695.12700000,4828576735.04270000
2024-08-20,79748.87800000,4737091328.08780000
2024-08-21,82720.66100000,4879501534.86970000
2024-08-22,85607.45400000,5232327588.48000000
2024-08-23,83676.72400000,5049881925.72760000
2024-08-24,86666.88200000,5548405118.95180000
2024-08-25,87051.13600000,5581875784.25770900
2024-08-26,87953.83400000,5646631310.32963100
2024-08-27,84295.24200000,5294951304.22399800
